+--------------------------+------------+
|         Modules          | Parameters |
+--------------------------+------------+
|         nodevec1         |    260     |
|         nodevec2         |    260     |
|  filter_convs.0.weight   |    2048    |
|   filter_convs.0.bias    |     32     |
|  filter_convs.1.weight   |    2048    |
|   filter_convs.1.bias    |     32     |
|  filter_convs.2.weight   |    2048    |
|   filter_convs.2.bias    |     32     |
|  filter_convs.3.weight   |    2048    |
|   filter_convs.3.bias    |     32     |
|  filter_convs.4.weight   |    2048    |
|   filter_convs.4.bias    |     32     |
|  filter_convs.5.weight   |    2048    |
|   filter_convs.5.bias    |     32     |
|  filter_convs.6.weight   |    2048    |
|   filter_convs.6.bias    |     32     |
|  filter_convs.7.weight   |    2048    |
|   filter_convs.7.bias    |     32     |
|  filter_convs.8.weight   |    2048    |
|   filter_convs.8.bias    |     32     |
|  filter_convs.9.weight   |    2048    |
|   filter_convs.9.bias    |     32     |
|  filter_convs.10.weight  |    2048    |
|   filter_convs.10.bias   |     32     |
|  filter_convs.11.weight  |    2048    |
|   filter_convs.11.bias   |     32     |
|  filter_convs.12.weight  |    2048    |
|   filter_convs.12.bias   |     32     |
|  filter_convs.13.weight  |    2048    |
|   filter_convs.13.bias   |     32     |
|  filter_convs.14.weight  |    2048    |
|   filter_convs.14.bias   |     32     |
|  filter_convs.15.weight  |    2048    |
|   filter_convs.15.bias   |     32     |
|   gate_convs.0.weight    |    2048    |
|    gate_convs.0.bias     |     32     |
|   gate_convs.1.weight    |    2048    |
|    gate_convs.1.bias     |     32     |
|   gate_convs.2.weight    |    2048    |
|    gate_convs.2.bias     |     32     |
|   gate_convs.3.weight    |    2048    |
|    gate_convs.3.bias     |     32     |
|   gate_convs.4.weight    |    2048    |
|    gate_convs.4.bias     |     32     |
|   gate_convs.5.weight    |    2048    |
|    gate_convs.5.bias     |     32     |
|   gate_convs.6.weight    |    2048    |
|    gate_convs.6.bias     |     32     |
|   gate_convs.7.weight    |    2048    |
|    gate_convs.7.bias     |     32     |
|   gate_convs.8.weight    |    2048    |
|    gate_convs.8.bias     |     32     |
|   gate_convs.9.weight    |    2048    |
|    gate_convs.9.bias     |     32     |
|   gate_convs.10.weight   |    2048    |
|    gate_convs.10.bias    |     32     |
|   gate_convs.11.weight   |    2048    |
|    gate_convs.11.bias    |     32     |
|   gate_convs.12.weight   |    2048    |
|    gate_convs.12.bias    |     32     |
|   gate_convs.13.weight   |    2048    |
|    gate_convs.13.bias    |     32     |
|   gate_convs.14.weight   |    2048    |
|    gate_convs.14.bias    |     32     |
|   gate_convs.15.weight   |    2048    |
|    gate_convs.15.bias    |     32     |
| residual_convs.0.weight  |    1024    |
|  residual_convs.0.bias   |     32     |
| residual_convs.1.weight  |    1024    |
|  residual_convs.1.bias   |     32     |
| residual_convs.2.weight  |    1024    |
|  residual_convs.2.bias   |     32     |
| residual_convs.3.weight  |    1024    |
|  residual_convs.3.bias   |     32     |
| residual_convs.4.weight  |    1024    |
|  residual_convs.4.bias   |     32     |
| residual_convs.5.weight  |    1024    |
|  residual_convs.5.bias   |     32     |
| residual_convs.6.weight  |    1024    |
|  residual_convs.6.bias   |     32     |
| residual_convs.7.weight  |    1024    |
|  residual_convs.7.bias   |     32     |
| residual_convs.8.weight  |    1024    |
|  residual_convs.8.bias   |     32     |
| residual_convs.9.weight  |    1024    |
|  residual_convs.9.bias   |     32     |
| residual_convs.10.weight |    1024    |
|  residual_convs.10.bias  |     32     |
| residual_convs.11.weight |    1024    |
|  residual_convs.11.bias  |     32     |
| residual_convs.12.weight |    1024    |
|  residual_convs.12.bias  |     32     |
| residual_convs.13.weight |    1024    |
|  residual_convs.13.bias  |     32     |
| residual_convs.14.weight |    1024    |
|  residual_convs.14.bias  |     32     |
| residual_convs.15.weight |    1024    |
|  residual_convs.15.bias  |     32     |
|   skip_convs.0.weight    |    8192    |
|    skip_convs.0.bias     |    256     |
|   skip_convs.1.weight    |    8192    |
|    skip_convs.1.bias     |    256     |
